time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704904904,363855.17,4.624543E+08,353018.47,45998.90,5.849000E+07,44648.84
1704904914,355649.77,4.660118E+08,353038.41,44987.86,5.894000E+07,44651.41
1704904924,339952.57,4.694105E+08,352940.04,43009.85,5.937000E+07,44639.07
1704904934,395339.51,4.733637E+08,353256.44,50002.48,5.987000E+07,44679.10
1704904944,371561.61,4.770799E+08,353392.05,46992.82,6.034000E+07,44696.24
1704904954,356037.97,4.806397E+08,353411.51,45007.28,6.079000E+07,44698.53
1704904964,308243.53,4.837223E+08,353081.80,38998.35,6.118000E+07,44656.92
1704904974,395426.83,4.876765E+08,353388.65,49999.83,6.168000E+07,44695.63
1704904984,331973.69,4.909961E+08,353234.59,42001.72,6.210000E+07,44676.25
1704904994,347919.66,4.944753E+08,353196.63,44000.20,6.254000E+07,44671.42
1704905004,276447.51,4.972411E+08,352652.06,34984.08,6.289000E+07,44602.69
1704905014,284791.86,5.000880E+08,352174.33,36012.12,6.325000E+07,44542.21
1704905024,308278.36,5.031712E+08,351867.33,38995.23,6.364000E+07,44503.42
1704905034,395443.79,5.071249E+08,352169.89,50009.48,6.414000E+07,44541.65
1704905044,340130.35,5.105262E+08,352086.86,42999.79,6.457000E+07,44531.01
1704905054,387398.90,5.144004E+08,352328.73,48997.61,6.506000E+07,44561.61
1704905064,395279.86,5.183530E+08,352620.91,50001.70,6.556000E+07,44598.61
1704905074,355839.82,5.219113E+08,352642.65,45001.66,6.601000E+07,44601.34
1704905084,339491.66,5.253110E+08,352554.27,42939.64,6.644000E+07,44590.17
1704905094,372096.95,5.290273E+08,352684.39,47058.57,6.691000E+07,44606.60
1704905104,379257.76,5.328216E+08,352860.45,47978.91,6.739000E+07,44628.95
1704905114,324372.36,5.360637E+08,352673.12,41020.03,6.780000E+07,44605.22
1704905124,347731.98,5.395409E+08,352640.83,44001.57,6.824000E+07,44601.27
1704905134,395375.92,5.434946E+08,352918.32,50001.01,6.874000E+07,44636.33
1704905144,379535.53,5.472897E+08,353090.03,48003.34,6.922000E+07,44658.05
1704905154,284635.58,5.501361E+08,352651.22,35999.38,6.958000E+07,44602.55
1704905164,276761.05,5.529039E+08,352167.80,34996.97,6.993000E+07,44541.36
1704905174,316226.63,5.560675E+08,351940.23,39983.53,7.033000E+07,44512.50
